age,race,gender,employment,education,married,person_living_in_house,salary,house_type,house_value,vehicle,house_rental_fee,house_loan_pmt,transport_use,transport_spending,public_transport_spending,house_utility,food_spending,kids_spending,personal_loan,education_loan,other_loan,investment
30,Kree,M,Employed,High School,Yes,3,1K to 2K,Rental house - flat,Below 100K,Local brand car,450,0,Own transport,250,0,120,300,160,0,0,200,0
43,Sapiens,M,Self-employed,Bachelor's Degree,Yes,3,5K to 6K,Own house - condominiums,300K to 400K,Asia brand car,0,950,Own transport,700,0,350,1000,500,300,0,0,0
28,Skrull,F,Employed,Bachelor's Degree,Yes,5,2K to 3K,Parent's house,,Local brand car,0,0,Own transport,600,0,300,600,100,0,0,0,0
57,Kree,F,Self-employed,High School,Yes,4,1K to 2K,Own house - kampung / wooden house,Below 100K,Motorcycle,0,0,Own transport,100,0,200,800,450,0,0,0,0
51,Skrull,F,Unemployed,High School,Yes,5,3K to 4K,Own house - flat,Below 100K,Asia brand car,0,0,,0,0,180,0,0,0,0,0,0
76,Kree,M,Government retiree,High School,Yes,2,1K to 2K,Own house - double storey terrace,,Local brand car,0,600,Own transport,100,0,0,200,0,0,0,0,0
63,Kree,F,Unemployed,High School,Divorcee,3,1K to 2K,Own house - double storey terrace,500K to 600K,Local brand car,0,0,Own transport,550,0,100,1000,0,0,0,0,0
34,Kree,F,Employed,Bachelor's Degree,No,8,3K to 4K,Own house - double storey terrace,500K to 600K,Local brand car,,2000,Own transport,800,0,300,1000,0,0,200,0,0
24,Kree,M,Employed,Diploma,No,6,1K to 2K,Parent's house,,Local brand car,0,0,Own transport,400,0,200,200,0,0,0,0,0
59,Sapiens,M,Employed,Diploma,Yes,4,10K or more,Own house - double storey terrace,600K to 700K,Asia brand car,0,3000,,0,0,600,4000,0,0,0,0,0
41,Sapiens,F,Self-employed,High School,Yes,4,5K to 6K,Own house - one storey terrace,100K to 200K,Asia brand car,0,900,Own transport,600,0,300,1200,150,0,0,0,0
30,Sapiens,F,Employed,Certificates,No,3,2K to 3K,Parent's house,,Local brand car,0,0,Own transport,800,0,0,300,0,0,0,0,0
51,Sapiens,M,Employed,Bachelor's Degree,Yes,4,10K or more,Own house - double storey terrace,600K to 700K,Asia brand car,2000,0,Own transport,800,0,200,1000,300,0,0,0,0
52,Kree,M,Self-employed,Diploma,Yes,4,4K to 5K,Own house - one storey terrace,200K to 300K,Local brand car,0,700,Own transport,1000,0,300,1500,300,0,0,500,0
40,Sapiens,M,Self-employed,Bachelor's Degree,Yes,4,10K or more,Own house - double storey terrace,500K to 600K,Asia brand car,0,2000,Own transport,2500,0,200,1500,300,0,0,0,0
40,Skrull,M,Employed,High School,Yes,3,3K to 4K,Rental house - single storey,,Local brand car,300,0,Own transport,700,0,60,400,0,0,0,0,0
59,Sapiens,M,Self-employed,High School,Yes,4,Less than 1K,Own house - flat,Below 100K,Local brand car,0,150,Own transport,200,0,200,1000,0,0,0,0,0
81,Skrull,F,Government retiree,High School,Yes,3,Less than 1K,Own house - one storey terrace,100K to 200K,Did not own any vehicle,0,0,,0,100,100,100,0,0,0,0,0
47,Sapiens,M,Self-employed,High School,Yes,5,3K to 4K,Rental house - kampung / wooden house,,Local brand car,300,0,Own transport,400,0,500,1000,50,0,0,0,0
63,Kree,F,Self-employed,High School,Yes,4,1K to 2K,Own house - kampung / wooden house,Below 100K,Motorcycle,0,0,Own transport,40,0,200,0,200,0,0,300,0
30,Kree,F,Employed,Diploma,No,4,1K to 2K,Parent's house,,Local brand car,0,0,Own transport,700,0,50,400,0,0,0,0,0
65,Kree,F,Unemployed,High School,Yes,6,Less than 1K,Own house - kampung / wooden house,Below 100K,Local brand car,0,0,Own transport,100,0,100,300,0,0,0,0,0
69,Sapiens,M,Private sector retiree,High School,Yes,4,Less than 1K,Own house - one storey terrace,200K to 300K,Did not own any vehicle,0,0,,0,0,0,400,0,0,0,0,0
80,Sapiens,M,Self-employed,,Yes,2,Less than 1K,Parent's house,,Local brand car,0,0,Own transport,200,0,200,400,0,0,0,0,0
33,Skrull,M,Employed,High School,Yes,9,2K to 3K,Rental house - single storey,,Local brand car,350,0,Own transport,200,0,800,2000,300,0,0,0,0
62,Sapiens,F,Private sector retiree,High School,Yes,2,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,70,2000,0,0,0,0,0
47,Sapiens,M,Employed,High School,Yes,6,1K to 2K,Own house - kampung / wooden house,100K to 200K,Local brand car,0,0,Own transport,200,0,300,300,0,0,0,0,0
82,Sapiens,M,Government retiree,Bachelor's Degree,Yes,6,Less than 1K,Own house - bungalows,Below 100K,Did not own any vehicle,0,0,,0,0,0,0,0,0,0,0,0
53,Sapiens,M,Employed,High School,Yes,4,5K to 6K,Own house - double storey terrace,Below 100K,Asia brand car,0,0,Own transport,2000,0,500,0,1000,0,0,1000,0
31,Kree,M,Self-employed,Diploma,Yes,2,3K to 4K,Rental house - kampung / wooden house,,Local brand car,300,0,Own transport,700,0,100,800,0,250,0,0,0
27,Kree,M,Employed,Bachelor's Degree,No,5,2K to 3K,Own house - one storey terrace,200K to 300K,Motorcycle,0,500,Own transport,500,0,600,200,0,0,100,0,0
49,Sapiens,M,Employed,High School,Yes,4,2K to 3K,Own house - one storey terrace,100K to 200K,Motorcycle,0,500,Own transport,300,0,300,600,100,0,0,0,0
37,Kree,F,Employed,Diploma,Yes,3,4K to 5K,Own house - kampung / wooden house,Below 100K,Local brand car,0,0,Own transport,1000,0,250,1000,500,0,0,0,0
50,Kree,F,Unemployed,High School,Yes,6,Less than 1K,Rental house - double storey terrace,Below 100K,Did not own any vehicle,0,0,,0,0,0,0,0,0,0,0,0
34,Sapiens,F,Employed,High School,No,1,2K to 3K,Rental house - single storey,,Did not own any vehicle,700,0,Public transport,0,60,1000,500,0,0,0,0,0
41,Sapiens,F,Unemployed,Bachelor's Degree,Yes,8,10K or more,Own house - bungalows,More than 1M,Asia brand car,0,2500,,3000,200,600,3000,2800,3000,0,5000,0
78,Kree,F,Unemployed,High School,Yes,5,Less than 1K,Own house - kampung / wooden house,Below 100K,Local brand car,0,0,Own transport,50,0,100,0,0,0,0,0,0
61,Kree,F,Unemployed,High School,Yes,6,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,0,0,0,0,0,0,0
28,Kree,M,Employed,Diploma,Yes,2,2K to 3K,Rental house - flat,,Motorcycle,650,0,Own transport,200,0,100,500,0,0,0,0,0
