employment,education,married,person_living_in_house,salary,house_rental_fee,house_loan_pmt,transport_use,transport_spending,public_transport_spending,house_utility,food_spending,kids_spending,personal_loan,education_loan,other_loan,investment,age_class,house_type_Own,house_type_Parent,house_type_Rental,house_type_Rental house - kampung / wooden house,gender_F,gender_M,vehicle_Import,vehicle_Local,vehicle_Motorcycle,vehicle_no_vehicle,race_Kree,race_Others,race_Sapiens,race_Skrull
5,0,2,3,0,450.0,0.0,own,250.0,0.0,120.0,300.0,160.0,0.0,0.0,200.0,0.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2,3,2,3,1,0.0,950.0,own,700.0,0.0,350.0,1000.0,500.0,300.0,0.0,0.0,0.0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0
5,3,2,5,0,0.0,0.0,own,600.0,0.0,300.0,600.0,100.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2,0,2,4,0,0.0,0.0,own,100.0,0.0,200.0,800.0,450.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,2,5,0,0.0,0.0,own,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1
4,0,2,2,0,0.0,600.0,own,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,3,0,0.0,0.0,own,550.0,0.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5,3,0,8,0,0.0,2000.0,own,800.0,0.0,300.0,1000.0,0.0,0.0,200.0,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5,2,0,6,0,0.0,0.0,own,400.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
5,2,2,4,1,0.0,3000.0,own,0.0,0.0,600.0,4000.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0
2,0,2,4,1,0.0,900.0,own,600.0,0.0,300.0,1200.0,150.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0
5,1,0,3,0,0.0,0.0,own,800.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
5,3,2,4,1,2000.0,0.0,own,800.0,0.0,200.0,1000.0,300.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0
2,2,2,4,0,0.0,700.0,own,1000.0,0.0,300.0,1500.0,300.0,0.0,0.0,500.0,0.0,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,3,2,4,1,0.0,2000.0,own,2500.0,0.0,200.0,1500.0,300.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0
